following,followers,actions,is_retweet,location,Type
8989.0,16341.0,17179.0,0.0,FBBIGBANG&2NE1TH,Spam
3055.0,2189.0,4264.0,1.0,"Near Worthing, UK",Spam
8786.0,20021.0,23393.0,0.0,"Kansas City, MO",Spam
4665.0,2284.0,1624.0,0.0,•• Trench is available now ||-//,Spam
0.0,206000.0,53.0,0.0,"Birmingham, England",Quality
795.0,938.0,6188.0,0.0,New Zealand,Spam
10008.0,24989.0,37511.0,0.0,Alief,Spam
4307.0,3383.0,17309.0,0.0,"Alexandria,Egypt",Spam
0.0,0.0,0.0,0.0,,Quality
0.0,14900.0,,0.0,ATL & Palm Beach-South Beach,Quality
605.0,316.0,12137.0,1.0,The United States,Spam
0.0,0.0,0.0,0.0,,Quality
0.0,0.0,0.0,0.0,Indonesia,Quality
9294.0,8515.0,1132.0,0.0,Blumberg,Spam
1287.0,411.0,741.0,1.0,"Kampala, Uganda",Spam
983.0,493.0,221.0,0.0,Snapchat  👻 Simongamer987,Spam
0.0,0.0,0.0,0.0,"ÜT: 44.753146,-93.177496",Quality
806.0,739.0,1232.0,1.0,"Heacham, Kings Lynn, Norfolk",Spam
9993.0,13660.0,7858.0,0.0,"Prince Edward Island, Canada",Spam
815.0,424.0,868.0,0.0,Sussex,Spam
655.0,447.0,1004.0,1.0,"Stirling, Scotland",Spam
0.0,0.0,0.0,0.0,Laredo Tx,Quality
4265.0,3013.0,28084.0,0.0,Aveiro // Marinha Grande,Spam
0.0,0.0,,0.0,Halifax,Quality
0.0,0.0,,0.0,,Quality
1.0,21.0,2593.0,0.0,"Konya, Türkiye",Spam
0.0,0.0,21.0,0.0,Lauderdale Lakes,Quality
,0.0,,0.0,white house w cory the homie,Quality
1128.0,868.0,2259.0,1.0,Mt.pleasant sc,Spam
0.0,0.0,0.0,0.0,North Carolina,Quality
0.0,0.0,0.0,0.0,"if lost, pls return to Amelia",Quality
0.0,0.0,,0.0,India,Quality
0.0,0.0,0.0,0.0,"Houston, TX",Quality
2950.0,462.0,1222.0,0.0,"Halifax, Nova Scotia",Spam
0.0,236000.0,,0.0,Hertfordshire,Quality
54.0,83.0,527.0,1.0,Hyrule Castle,Spam
0.0,0.0,0.0,0.0,,Quality
802.0,447.0,951.0,1.0,"BRIDGEPORT, USA",Spam
3321.0,561.0,181.0,0.0,"Buenos Aires, Argentina",Spam
0.0,0.0,0.0,0.0,,Quality
6575.0,17114.0,39440.0,0.0,"Redhill, South East",Spam
0.0,0.0,0.0,0.0,,Quality
1552.0,1624.0,2352.0,1.0,"South West, England",Spam
0.0,0.0,0.0,0.0,,Quality
0.0,198000.0,,0.0,U.S.,Quality
606.0,368.0,13813.0,1.0,"Fargo, ND",Spam
1.0,17.0,1573.0,0.0,ID to SEOUL probably,Spam
10358.0,11451.0,11044.0,0.0,Washington Heights,Spam
0.0,0.0,7.0,0.0,,Quality
297000.0,105000000.0,,0.0,,Quality
0.0,0.0,,1.0,Melancholy Hill,Quality
0.0,0.0,0.0,0.0,Europe,Quality
248.0,2571.0,159953.0,1.0,305/954,Spam
0.0,0.0,0.0,0.0,,Quality
0.0,0.0,,0.0,,Quality
0.0,0.0,35.0,0.0,,Quality
570.0,873.0,3536.0,1.0,"College Station, TX",Spam
1722.0,1616.0,8550.0,0.0,Suffolk County,Spam
0.0,4420000.0,68.0,0.0,"New York, NY",Quality
3881.0,11502.0,13330.0,0.0,Western Hemisphere,Spam
1328.0,1908.0,6426.0,1.0,615,Spam
0.0,0.0,0.0,0.0,"Pittsburgh, PA",Quality
1754.0,561.0,1742.0,0.0,"Malabon City, Philippines",Spam
0.0,0.0,0.0,0.0,"Bronx, New york",Quality
13934.0,12672.0,7744.0,0.0,The Diamond,Spam
0.0,0.0,17.0,0.0,Probaby high with Jaime,Quality
0.0,0.0,0.0,0.0,"Ann Arbor, MI",Quality
283.0,139.0,924.0,0.0,Tulsa OK,Spam
0.0,0.0,321.0,0.0,"'ᴍʏ ɢɪʀʟs, ᴍʏ ᴍᴇᴍᴏʀɪᴇs'",Quality
0.0,636000.0,,0.0,"Mumbai, India",Quality
0.0,0.0,,0.0,,Quality
0.0,0.0,,0.0,"Austin, TX",Quality
4997.0,1327.0,530.0,0.0,planet earth,Spam
1981.0,1175.0,4283.0,0.0,Boyd Texas,Spam
0.0,384000.0,933.0,0.0,Los Angeles,Quality
4823.0,2692.0,4386.0,0.0,Jersey,Spam
98200.0,867000.0,,0.0,"Colorado, USA",Quality
12551.0,16741.0,6407.0,0.0,"San Antonio, Texas",Spam
0.0,0.0,,0.0,,Quality
450.0,834.0,5770.0,1.0,NYC-Worldwide,Spam
,0.0,0.0,0.0,,Quality
0.0,0.0,,0.0,Washington DC,Quality
9239.0,8400.0,17180.0,0.0,"Harriman, TN",Spam
0.0,0.0,,0.0,,Quality
0.0,0.0,12.0,0.0,,Quality
684.0,771.0,5626.0,1.0,Where We Dont Pump Our Own Gas,Spam
0.0,0.0,,0.0,,Quality
0.0,95100.0,46.0,0.0,UK,Quality
0.0,0.0,,0.0,Florida,Quality
0.0,3520000.0,,0.0,"Cologne, Germany",Quality
15819.0,26797.0,43105.0,0.0,caratland,Spam
833.0,898.0,4237.0,1.0,Berlin,Spam
0.0,0.0,0.0,0.0,Portland OR USA,Quality
304.0,737.0,9305.0,1.0,Htx,Spam
0.0,21300.0,6.0,0.0,"Winston-Salem, NC",Quality
0.0,0.0,0.0,0.0,"√α. в૯α૮ђ, √¡૨g¡ท¡α",Quality
0.0,0.0,0.0,0.0,Greater New York Area,Quality
0.0,0.0,20.0,0.0,"West Seneca, NY",Quality
0.0,27900.0,,0.0,Boston and Harlem,Quality
5067.0,12000.0,1748.0,0.0,"Lyon, France",Spam
13023.0,22882.0,2876.0,0.0,Staffordshire,Spam
0.0,0.0,,0.0,"Houston, TX",Quality
8205.0,13647.0,13754.0,0.0,"Manila, Philippines",Spam
1328.0,1552.0,4885.0,1.0,"MNL, PHIL",Spam
0.0,0.0,,0.0,"Hamilton, Scotland",Quality
17265.0,26011.0,36160.0,0.0,in Cashton world,Spam
0.0,0.0,2.0,0.0,"Birmingham, B1 2JB",Quality
1997.0,186.0,600.0,0.0,"Cambridge, UK",Spam
0.0,0.0,,0.0,"Laguna Beach, CA",Quality
1950.0,1068.0,365.0,0.0,"Logroño, La Rioja",Spam
0.0,7020000.0,,0.0,Republic of the Philippines,Quality
0.0,0.0,0.0,0.0,Doncaster (Donnnnnnnnnnny),Quality
7232.0,7162.0,1888.0,0.0,"Moorestown, NJ",Spam
9157.0,34003.0,9842.0,0.0,Gainesville,Spam
4372.0,3395.0,14352.0,0.0,Tri - State Area 🗽 🇺🇸,Spam
77.0,53.0,268.0,0.0,Darul Pokok,Spam
15506.0,61225.0,50689.0,0.0,тυ &  үσ α' 3мsc ♥,Spam
0.0,2310000.0,,0.0,KL,Quality
0.0,0.0,0.0,0.0,,Quality
889.0,555.0,3189.0,1.0,⚽️|DM us battle suggestions| ⚽️,Spam
683.0,1066.0,1030.0,0.0,"1607 E HWY 50, Yankton, SD",Spam
0.0,0.0,0.0,0.0,Da  💛,Quality
67100.0,225000.0,,0.0,Singapore,Quality
0.0,0.0,0.0,0.0,"Lombard, IL",Quality
0.0,0.0,,0.0,,Quality
0.0,10800.0,,0.0,,Quality
0.0,0.0,,0.0,"Bleary, Northern Ireland",Quality
0.0,0.0,32.0,0.0,Pro Wrestling Slam,Quality
38.0,5.0,725.0,0.0,karachi,Spam
1931.0,2467.0,16656.0,1.0,"Dublin,Ireland",Spam
9578.0,61125.0,48655.0,0.0,Caloocan City,Spam
0.0,0.0,,0.0,,Quality
0.0,0.0,,0.0,0 fucks land,Quality
0.0,59200000.0,,0.0,"Washington, DC",Quality
0.0,103000.0,,0.0,thermphilippines@gmail.com,Quality
0.0,0.0,,0.0,,Quality
0.0,0.0,0.0,0.0,TOKYO,Quality
74.0,153.0,4453.0,1.0,thermphilippines@gmail.com,Spam
0.0,7.0,487.0,0.0,"Global (HQ: Pune, India)",Spam
0.0,0.0,,0.0,"Puerto Rico, USA",Quality
0.0,0.0,11.0,0.0,"London, Ontario",Quality
8626.0,12287.0,19176.0,0.0,Prolly In Yo City,Spam
0.0,0.0,,0.0,,Quality
5210.0,8296.0,17819.0,0.0,"Azle, TX",Spam
5878.0,17704.0,6717.0,0.0,YNB,Spam
0.0,0.0,0.0,0.0,jb ♡,Quality
7276.0,6713.0,1613.0,0.0,"Venezia, Italia",Spam
299.0,705.0,11156.0,1.0,manila,Spam
0.0,0.0,,0.0,Confederation of Rinavia,Quality
1044.0,1339.0,1799.0,1.0,Khairpur,Spam
6495.0,6478.0,14892.0,0.0,"Ottawa, ON",Spam
0.0,31700.0,17.0,0.0,"Albert Square, Cobbles, Dales",Quality
0.0,0.0,0.0,0.0,Mochudi-Botswana-..PTA -SA-,Quality
4434.0,16041.0,27483.0,0.0,Eindhoven,Spam
6307.0,17902.0,11764.0,0.0,"Port Moody, B.C.",Spam
0.0,0.0,,0.0,Modern Day Rome,Quality
2920.0,6053.0,2939.0,0.0,United Arab Emirates,Spam
0.0,10000.0,,0.0,,Quality
4956.0,2458.0,973.0,0.0,johor,Spam
0.0,0.0,3.0,0.0,"Los Angeles, CA",Quality
2184.0,2398.0,1597.0,1.0,This England,Spam
0.0,3990000.0,,0.0,SnapChat: HornyPeekers,Quality
4973.0,17265.0,30236.0,0.0,"Jos, Nigeria",Spam
930.0,1084.0,1894.0,1.0,"Sioux Falls, SD",Spam
0.0,0.0,,0.0,,Quality
0.0,0.0,,0.0,"Goes-Centrum, Goes",Quality
10579.0,28773.0,46466.0,0.0,World Citizen,Spam
0.0,0.0,,1.0,,Quality
7842.0,12888.0,12616.0,0.0,calabar,Spam
1294.0,617.0,5417.0,1.0,"Leeds, England",Spam
0.0,0.0,0.0,0.0,"Los Angeles, Ca",Quality
3457.0,3576.0,4819.0,1.0,"Edinburgh, Scotland, UK",Spam
8585.0,12290.0,25495.0,0.0,"Tallahassee, FL",Spam
0.0,0.0,,0.0,Wildlands of NorCal,Quality
4591.0,4655.0,812.0,0.0,100% Free Training,Spam
0.0,0.0,,1.0,Edenia,Quality
0.0,30300.0,,0.0,JAPAN,Quality
0.0,0.0,0.0,0.0,,Quality
0.0,0.0,2.0,0.0,,Quality
0.0,1840000.0,,0.0,"Pittsburgh, PA",Quality
7912.0,19619.0,18165.0,0.0,170402 171117 180905,Spam
18938.0,22552.0,12545.0,0.0,"Chennai, India",Spam
10239.0,11254.0,21713.0,0.0,Pakistan,Spam
8918.0,14453.0,6923.0,0.0,"Ottawa, Canada & USA",Spam
69800.0,80100.0,30.0,0.0,"San Francisco, CA",Quality
0.0,15900000.0,150.0,0.0,,Quality
0.0,0.0,285.0,0.0,"Louisville, KY",Quality
961.0,862.0,2430.0,1.0,Ghana,Spam
0.0,0.0,0.0,0.0,,Quality
3920.0,961.0,5249.0,0.0,"Kingston, Jamaica",Spam
0.0,0.0,0.0,0.0,,Quality
11793.0,11857.0,13317.0,0.0,"Central Luzon, Republic of the",Spam
50.0,5.0,606.0,0.0,"Ontario, Canada",Spam
0.0,0.0,5.0,0.0,"South East, England",Quality
8899.0,14984.0,17931.0,0.0,JAPAN,Spam
0.0,10700.0,16.0,0.0,"Costa Del Sol, Spain.",Quality
7332.0,7844.0,755.0,0.0,Chicago  ✈️Denver,Spam
0.0,0.0,,0.0,"Tempe, AZ",Quality
6012.0,9982.0,12028.0,1.0,"Chipley, FL",Spam
,0.0,,0.0,,Quality
0.0,0.0,40.0,0.0,worldwide,Quality
0.0,0.0,6.0,0.0,"Queen Creek, AZ",Quality
0.0,0.0,0.0,0.0,"Lexington, KY",Quality
0.0,0.0,0.0,0.0,"Pemberville, OH",Quality
455.0,818.0,5618.0,1.0,#LSUAlumna,Spam
0.0,0.0,1037.0,0.0,,Quality
0.0,0.0,,0.0,,Quality
0.0,0.0,,0.0,,Quality
5413.0,13639.0,16771.0,0.0,London/Delhi,Spam
5539.0,8270.0,15152.0,0.0,hiding in the halls,Spam
8152.0,20528.0,17911.0,0.0,Alegria,Spam
165.0,209.0,701.0,1.0,Woollim Trash,Spam
0.0,0.0,0.0,0.0,Egypt,Quality
1724.0,1459.0,7161.0,0.0,"Pendang, Kedah",Spam
4980.0,17242.0,29787.0,0.0,Hamilton Ontario,Spam
2333.0,2722.0,28431.0,1.0,"ÜT: 32.712541,-117.164504",Spam
17078.0,20231.0,12912.0,1.0,"London, UK & Kigali, Rwanda",Spam
14062.0,13220.0,44430.0,0.0,the internets,Spam
0.0,0.0,0.0,0.0,"neither here, nor there",Quality
0.0,1000000.0,622.0,0.0,,Quality
2963.0,2395.0,1923.0,1.0,"Austin, TX",Spam
65.0,125.0,10154.0,1.0,San Francisco/New York,Spam
1709.0,1713.0,9862.0,0.0,Sandton Johannesburg,Spam
1740.0,1642.0,2694.0,1.0,#JusticeFor6Inch #HeardAboutUs,Spam
14388.0,13259.0,18859.0,0.0,"Guangxi,China",Spam
,0.0,0.0,0.0,,Quality
0.0,217000.0,,0.0,Hampshire,Quality
0.0,789000.0,216.0,0.0,,Quality
0.0,0.0,0.0,0.0,USA,Quality
6450.0,5870.0,6052.0,1.0,"Milano, Italia",Spam
0.0,0.0,0.0,0.0,Cuba,Quality
7466.0,14847.0,21906.0,0.0,Real World,Spam
11700.0,10600.0,0.0,0.0,"Monterey Park, California",Quality
1333.0,570.0,1270.0,1.0,lasata,Spam
0.0,0.0,,0.0,$$$$$,Quality
1958.0,1270.0,2407.0,0.0,"Seoul, Republic of Korea",Spam
0.0,0.0,0.0,0.0,Connecticut,Quality
1723.0,1574.0,8074.0,0.0,"Staten Island, NY",Spam
548.0,128.0,399.0,1.0,CLE,Spam
0.0,30700.0,,0.0,SNSD PINK OCEAN PARADISE,Quality
248.0,2361.0,150698.0,1.0,"San Antonio, TX",Spam
0.0,0.0,,0.0,"Tampa, FL",Quality
0.0,94500.0,,0.0,England,Quality
4557.0,24191.0,32319.0,0.0,神奈 横浜市 神奈川区,Spam
3812.0,10236.0,10876.0,0.0,my FA is in the threads ↓,Spam
2721.0,13249.0,18282.0,0.0,Woollim Trash,Spam
14061.0,20078.0,11111.0,0.0,Monaco,Spam
0.0,0.0,20.0,0.0,"California, USA",Quality
0.0,979000.0,,0.0,,Quality
,0.0,0.0,0.0,,Quality
530.0,913.0,3126.0,1.0,12 Locations Nationwide,Spam
0.0,0.0,,0.0,under baeks bed,Quality
0.0,0.0,70.0,0.0,District 13,Spam
0.0,86700.0,,0.0,,Quality
0.0,0.0,,1.0,California,Quality
6422.0,12335.0,4718.0,0.0,Wonho's Underworld,Spam
0.0,0.0,,0.0,commitments,Quality
883.0,832.0,3376.0,1.0,This England,Spam
4299.0,3388.0,18208.0,0.0,"BLESSED SOIL, USA.",Spam
4638.0,18478.0,4525.0,0.0,"DRHM, NC",Spam
0.0,0.0,,0.0,"Miami, Florida - The Caribbean",Quality
15300.0,25900.0,81.0,0.0,Iraq,Quality
9185.0,17895.0,28048.0,0.0,Imagination takes me anywhere.,Spam
1494.0,1831.0,2670.0,1.0,"Guelph, Ontario",Spam
0.0,32600.0,403.0,0.0,,Quality
1250.0,523.0,1233.0,1.0,"Madrid, Spain",Spam
0.0,0.0,,0.0,"Lexington,Kentucky",Quality
0.0,12200.0,2.0,0.0,"Charlotte, NC",Quality
6273.0,5730.0,239.0,0.0,"Hanford, CA",Spam
2219.0,2145.0,3888.0,1.0,Bucks New University,Spam
0.0,0.0,4.0,0.0,Chicago,Quality
0.0,0.0,1463.0,0.0,roma | 170219  ♥ 170303,Quality
6596.0,14757.0,15813.0,0.0,"South Wales,UK",Spam
0.0,0.0,,0.0,OT Waddup,Quality
0.0,0.0,0.0,0.0,Казань,Quality
4941.0,1925.0,3128.0,0.0,305,Spam
453.0,839.0,3081.0,1.0,ot7 © 140525,Spam
1155.0,690.0,1560.0,1.0,DM to get tweets removed,Spam
2996.0,2175.0,1487.0,1.0,"Coventry, England",Spam
2019.0,4569.0,6693.0,0.0,honeymoon ãve,Spam
514.0,823.0,5918.0,1.0,City of Angels,Spam
1159.0,1175.0,2339.0,1.0,"Ossian, IN  Bluffton, IN",Spam
0.0,99900.0,136.0,0.0,vans.com/surf,Quality
1946.0,170.0,3501.0,0.0,"Rothesay, NB, Canada",Spam
68.0,167.0,8350.0,1.0,Tokyo,Spam
0.0,0.0,,0.0,"California, USA",Quality
14443.0,13262.0,12920.0,0.0,"Bangalore, India",Spam
0.0,0.0,0.0,0.0,,Quality
0.0,0.0,0.0,0.0,Under A Rock,Quality
0.0,275000.0,300.0,0.0,NYC,Quality
5007.0,18551.0,20335.0,0.0,"Central Luzon, Republic of the",Spam
0.0,0.0,0.0,0.0,"Damansara, Selangor",Quality
8250.0,16925.0,38190.0,0.0,Nasty Woman™,Spam
16400.0,8070000.0,,1.0,🇨🇺 🇲🇽,Quality
1852.0,1648.0,5376.0,1.0,south west,Spam
1018.0,267.0,588.0,0.0,W/ tinkerbell  🧚🏾‍♀️,Spam
8294.0,19349.0,11780.0,0.0,"Asheville, North Carolina",Spam
0.0,0.0,12.0,0.0,,Quality
0.0,0.0,0.0,0.0,,Quality
1637.0,1557.0,6455.0,1.0,Multan,Spam
0.0,45500.0,111.0,0.0,Somewhere,Quality
0.0,31700.0,,0.0,stl,Quality
0.0,0.0,,0.0,,Quality
,0.0,0.0,0.0,,Quality
0.0,0.0,21.0,0.0,,Quality
0.0,0.0,0.0,0.0,Slytherin Common Room,Quality
0.0,0.0,12.0,0.0,,Quality
2391.0,3128.0,18896.0,0.0,91018,Spam
7071.0,16290.0,21021.0,0.0,"Ranchi, India",Spam
0.0,0.0,13.0,0.0,East sussex TN325QU,Quality
824.0,694.0,1183.0,0.0,Cyber Space,Spam
1334.0,1747.0,2167.0,1.0,"ÜT: 42.460262,-71.022999",Spam
0.0,0.0,,0.0,"PaRappa Town, Rodney State.",Quality
0.0,0.0,,0.0,"Delft, The Netherlands",Quality
0.0,0.0,0.0,0.0,pale blue dot,Quality
2357.0,2589.0,9505.0,1.0,"Nerd-town, USA",Spam
1975.0,1774.0,1566.0,1.0,"Lucknow, India",Spam
0.0,0.0,0.0,0.0,Kenya,Quality
0.0,0.0,,0.0,portugal,Quality
4097.0,3857.0,4044.0,1.0,OT Waddup,Spam
0.0,0.0,0.0,0.0,"Central Region, Singapore",Quality
0.0,154000.0,571.0,0.0,niam/4,Quality
4194.0,15116.0,23584.0,0.0,Toronto,Spam
7137.0,16717.0,16874.0,0.0,"Ahmadabad City, India",Spam
12517.0,12620.0,10099.0,0.0,"Miami, FL.",Spam
977.0,1183.0,1650.0,1.0,Molly,Spam
248.0,2245.0,148917.0,1.0,Caloocan City,Spam
0.0,5050000.0,,0.0,"Seoul, Korea",Quality
293.0,427.0,1032.0,1.0,National and International,Spam
0.0,347000.0,,0.0,"Sirsa, India",Quality
0.0,89400.0,,0.0,"Washington, DC",Quality
17700.0,205000.0,157.0,0.0,"Washington, DC",Quality
0.0,0.0,0.0,0.0,"Texas, USA",Quality
5204.0,23818.0,30422.0,0.0,"Queretaro, Mexico",Spam
0.0,1860000.0,984.0,0.0,Here and there.,Quality
1625.0,549.0,732.0,1.0,Not in her comfort zone,Spam
2665.0,2876.0,3933.0,1.0,manu 🎈,Spam
763.0,772.0,2044.0,1.0,D.M.V,Spam
0.0,0.0,52.0,0.0,"Cagayan De Oro City, Northern",Quality
4868.0,1056.0,537.0,0.0,ex cutenesshayes,Spam
,,0.0,0.0,,Quality
17825.0,25494.0,3103.0,0.0,♪♩♭♪,Spam
440.0,748.0,3185.0,1.0,with imfact,Spam
14259.0,17127.0,3672.0,0.0,Cockaigne,Spam
1931.0,1066.0,4029.0,0.0,Mochudi-Botswana-..PTA -SA-,Spam
0.0,0.0,,0.0,michael,Quality
727.0,802.0,7199.0,0.0,"Mishawaka, IN",Spam
11800.0,12700.0,,0.0,2-6 to NCAT20,Quality
826.0,319.0,670.0,1.0,RVA,Spam
0.0,0.0,,0.0,In my shell  🐚,Quality
0.0,10100.0,2.0,0.0,Nigeria,Quality
0.0,703000.0,126.0,0.0,NYC,Quality
0.0,0.0,,0.0,UK,Quality
2293.0,2046.0,2555.0,1.0,"Pendang, Kedah",Spam
1974.0,2703.0,5522.0,0.0,"Eromanga, Australia",Spam
0.0,0.0,84.0,0.0,Oppressed Scotland,Quality
621.0,48.0,762.0,0.0,Macramento,Spam
7170.0,9046.0,21026.0,0.0,"Hastings, East Sussex",Spam
,0.0,0.0,0.0,"Chester, England",Quality
605.0,277.0,11304.0,1.0,Chiraq,Spam
0.0,0.0,,0.0,A Parallel world,Quality
2560.0,2260.0,15976.0,1.0,Los Angeles,Spam
0.0,1460000.0,811.0,0.0,SEATTLE2SEOUL,Quality
1685.0,1592.0,4254.0,1.0,KUL  🇲🇾,Spam
0.0,385000.0,549.0,0.0,New York,Quality
0.0,0.0,0.0,0.0,"Wayne, PA",Quality
4278.0,25329.0,44294.0,0.0,NawfBoro North Carolina Artist,Spam
0.0,3580000.0,,0.0,LA&NY,Quality
8582.0,12280.0,26510.0,0.0,Lagos,Spam
1211.0,839.0,811.0,1.0,ISRAEL,Spam
0.0,0.0,0.0,0.0,Singapore,Quality
0.0,0.0,4.0,0.0,south jerz,Quality
0.0,0.0,2.0,0.0,Boxtel,Quality
0.0,0.0,,0.0,"San Diego, CA",Quality
7647.0,19241.0,11030.0,0.0,cheshire // cambridge,Spam
0.0,264000.0,431.0,0.0,"New York, NY",Quality
8776.0,12324.0,7909.0,0.0,"Billings, MT",Spam
0.0,43100000.0,323.0,0.0,New York City,Quality
7071.0,19496.0,38017.0,0.0,London and the French Riviera,Spam
50.0,4.0,535.0,0.0,"Nairobi, Kenya",Spam
0.0,0.0,,0.0,"England, United Kingdom",Quality
4983.0,18744.0,622.0,0.0,"Austin, TX // Providence, RI",Spam
4793.0,9310.0,6401.0,1.0,Azania,Spam
0.0,0.0,0.0,0.0,Kentucky,Quality
0.0,0.0,,1.0,,Quality
7182.0,7890.0,9426.0,1.0,"Jeddah, Saudi Arabia",Spam
0.0,0.0,0.0,0.0,United States of America,Quality
